Park,,Rank,Recreation Visits,% of Total
Ulysses S. Grant NHS,,302,15236,0.01%
James A. Garfield NHS,,303,14797,0.01%
Fort Scott NHS,,304,14652,0.01%
Eugene O'Neill NHS,,305,14423,0.01%
Jimmy Carter NHS,,306,14267,0.01%
Hagerman Fossil Beds NM,,307,14113,0.01%
Roger Williams NMEM,,308,13971,0.01%
Federal Hall NMEM,,309,13822,0.01%
Saint-Gaudens NHP,,310,13286,0.01%
Fossil Butte NM,,311,13176,0.01%
Klondike Gold Rush NHP Seattle,,312,13003,0.01%
Noatak NPRES,,313,12533,0.01%
Washita Battlefield NHS,,314,12520,0.01%
Bent's Old Fort NHS,,315,12438,0.01%
Martin Van Buren NHS,,316,11480,0.00%
Hubbell Trading Post NHS,,317,11407,0.00%
Manhattan Project NHP,,318,11392,0.00%
Cape Krusenstern NM,,319,11369,0.00%
Kobuk Valley NP,,320,11185,0.00%
William Howard Taft NHS,,321,11100,0.00%
Frederick Douglass NHS,,322,10969,0.00%
Pipe Spring NM,,323,10623,0.00%
New Orleans Jazz NHP,,324,9640,0.00%
Eleanor Roosevelt NHS,,325,9575,0.00%
Rosie The Riveter WWII Home Front NHP,,326,9528,0.00%
Harry S Truman NHS,,327,9446,0.00%
Hampton NHS,,328,8728,0.00%
Agate Fossil Beds NM,,329,8722,0.00%
Russell Cave NM,,330,8462,0.00%
Women's Rights NHP,,331,8237,0.00%
Chaco Culture NHP,,332,8231,0.00%
Eisenhower NHS,,333,7926,0.00%
African Burial Ground NM,,334,7908,0.00%
Thomas Edison NHP,,335,7605,0.00%
Adams NHP,,336,6937,0.00%
Saint Croix Island IHS,,337,6914,0.00%
Tuskegee Airmen NHS,,338,6843,0.00%
Minidoka NHS,,339,6747,0.00%
Isle Royale NP,,340,6493,0.00%
Fort Bowie NHS,,341,6456,0.00%
Saint Paul's Church NHS,,342,5968,0.00%
Glacier Bay NP & PRES,,343,5748,0.00%
Cesar E. Chavez NM,,344,5668,0.00%
Fort Union NM,,345,5334,0.00%
Knife River Indian Villages NHS,,346,5263,0.00%
Fort Union Trading Post NHS,,347,5225,0.00%
Theodore Roosevelt Inaugural NHS,,348,5098,0.00%
Theodore Roosevelt Birthplace NHS,,349,4984,0.00%
Lake Clark NP & PRES,,350,4948,0.00%
National Park of American Samoa,,351,4819,0.00%
Tuskegee Institute NHS,,352,4737,0.00%
Alibates Flint Quarries NM,,353,4269,0.00%
Sand Creek Massacre NHS,,354,4215,0.00%
Brown v. Board of Education NHS,,355,4064,0.00%
President W.J. Clinton Birthplace Home NHS,,356,4055,0.00%
Navajo NM,,357,3985,0.00%
Rainbow Bridge NM,,358,3573,0.00%
Gates of the Arctic NP & PRES,,359,2872,0.00%
Salt River Bay NHP & Ecological Pres,,360,2704,0.00%
Bering Land Bridge NPRES,,361,2642,0.00%
Frederick Law Olmsted NHS,,362,2570,0.00%
Belmont-Paul Women's Equality NM,,363,2535,0.00%
Charles Young Buffalo Soldiers NM,,364,2461,0.00%
Edgar Allan Poe NHS,,365,2418,0.00%
First Ladies NHS,,366,2406,0.00%
Thomas Stone NHS,,367,2351,0.00%
Keweenaw NHP,,368,2130,0.00%
Maggie L. Walker NHS,,369,1849,0.00%
Springfield Armory NHS,,370,1032,0.00%
Yukon-Charley Rivers NPRES,,371,666,0.00%
Mary McLeod Bethune Council House NHS,,372,578,0.00%
Carter G. Woodson Home NHS,,373,548,0.00%
John F. Kennedy NHS,,374,451,0.00%
Clara Barton NHS,,375,450,0.00%
Klondike Gold Rush NHP Alaska,,376,297,0.00%
Nicodemus NHS,,377,262,0.00%
Rio Grande W&SR,,378,126,0.00%
Port Chicago Naval Magazine NMEM,,379,70,0.00%
Aniakchak NM & PRES,,380,36,0.00%

